Title:,0.2I+O,,,,,,,
Parameters:,,,,,,,,
,,,,,,,,
DAQ Settings:,,,,,,,,
Frequency Limit,2000,,,,,,,
Spectral Lines,1600,,,,,,,
Number of Blocks,8,,,,,,,
Total Data Rows,32768,,,,,,,
Channels:,,,,,,,,
Legend,Hor Accl,H Acc,Channel3,Channel4,Ver Accl,Speed,Torque,Channel8
,,,,,,,,
On/Off,OFF,OFF,OFF,OFF,ON,ON,ON,OFF
,,,,,,,,
Volts/Unit,0.1,0.1,1,1,0.1,1,0.0067,1
,,,,,,,,
Data,,,,,,,,
-0.033577,0.747387,0.002176,,,,,,
-0.047827,0.747277,0.003028,,,,,,
-0.05259,0.748516,0.001458,,,,,,
-0.058024,0.747444,0.001309,,,,,,
-0.041767,0.74797,0.00338,,,,,,
0.01794,0.747332,0.000989,,,,,,
0.035744,0.747648,0.004461,,,,,,
0.060514,0.746838,0.000691,,,,,,
0.094803,0.747284,-0.001785,,,,,,
0.10823,0.747002,0.000967,,,,,,
0.068063,0.747434,0.001073,,,,,,
0.069385,0.747116,-0.000392,,,,,,
0.093643,0.746997,-0.00085,,,,,,
0.047057,0.747474,0.004431,,,,,,
0,0.747511,0.00126,,,,,,
0.029214,0.747366,0.003917,,,,,,
0.051902,0.747081,0.001594,,,,,,
0.002608,0.74707,0.002349,,,,,,
0.033669,0.746415,0.006046,,,,,,
0.06382,0.74715,0.003748,,,,,,
0.001224,0.747,0.004262,,,,,,
-0.058908,0.747184,0.001665,,,,,,
-0.011076,0.747273,0.001851,,,,,,
-0.113628,0.747337,0.004508,,,,,,
-0.180216,0.746522,0.001256,,,,,,
-0.076694,0.746655,0.006224,,,,,,
-0.10825,0.746177,-0.000941,,,,,,
-0.062586,0.74648,0.005449,,,,,,
0.039299,0.746207,0.004903,,,,,,
0.017223,0.746949,0.001461,,,,,,
-0.022721,0.746117,0.002514,,,,,,
0.061666,0.747163,0.004264,,,,,,
0.032217,0.745317,0.003534,,,,,,
-0.071719,0.74801,0.005814,,,,,,
-0.023606,0.744141,0.002312,,,,,,
0.01243,0.747906,0.00316,,,,,,
-0.045179,0.742473,0.003139,,,,,,
-0.016836,0.749015,0.001494,,,,,,
0.075162,0.740472,0.001031,,,,,,
0.058152,0.750694,-0.003339,,,,,,
0.039616,0.738488,0.004378,,,,,,
0.065328,0.753918,0.002591,,,,,,
0.10443,0.736484,0.002943,,,,,,
0.045586,0.757255,0.002138,,,,,,
0.057987,0.731617,0.001382,,,,,,
0.095098,0.761591,0.002817,,,,,,
0.073992,0.725337,0.001167,,,,,,
0.044204,0.76746,0.000436,,,,,,
0.045712,0.718237,-0.000307,,,,,,
0.019231,0.776546,0.000738,,,,,,
-0.030097,0.707682,0.004091,,,,,,
-0.06417,0.789282,0.002951,,,,,,
-0.090364,0.69354,0.003649,,,,,,
-0.110963,0.807677,0.00243,,,,,,
-0.108125,0.669215,0.004704,,,,,,
-0.078806,0.837785,0.002857,,,,,,
-0.03437,0.625022,0.001475,,,,,,
-0.014195,0.903638,0.002801,,,,,,
0.039212,0.512332,0.002122,,,,,,
0.031049,1.12592,0.002923,,,,,,
0.130469,-3.506912,0.004027,,,,,,
0.064133,-5.967474,0.00357,,,,,,
-0.12717,-5.240657,0.003941,,,,,,
-0.214989,-5.668228,0.004224,,,,,,
-0.041274,-5.374269,0.003577,,,,,,
-0.047337,-5.597158,0.003318,,,,,,
-0.213293,-5.421654,0.001195,,,,,,
-0.087859,-5.565215,0.0034,,,,,,
0.168755,-5.445984,0.00181,,,,,,
0.129657,-5.54567,0.00081,,,,,,
0.078471,-5.460885,0.002442,,,,,,
0.215943,-5.532022,0.001726,,,,,,
0.221122,-5.470345,0.001887,,,,,,
