Title:,0.2I+R+O,,,,,,,
Parameters:,,,,,,,,
,,,,,,,,
DAQ Settings:,,,,,,,,
Frequency Limit,2000,,,,,,,
Spectral Lines,1600,,,,,,,
Number of Blocks,8,,,,,,,
Total Data Rows,32768,,,,,,,
Channels:,,,,,,,,
Legend,Hor Accl,H Acc,Channel3,Channel4,Ver Accl,Speed,Torque,Channel8
,,,,,,,,
On/Off,OFF,OFF,OFF,OFF,ON,ON,ON,OFF
,,,,,,,,
Volts/Unit,0.1,0.1,1,1,0.1,1,0.0067,1
,,,,,,,,
Data,,,,,,,,
-0.067942,0.741304,0.002391,,,,,,
-0.158534,0.741816,-0.002325,,,,,,
0.23614,0.741591,-0.000031,,,,,,
0.178479,0.741789,0.004485,,,,,,
-0.105492,0.742286,0.001743,,,,,,
0.075387,0.741653,0.000577,,,,,,
0.136512,0.741892,0.001164,,,,,,
-0.063549,0.741103,0.003287,,,,,,
-0.047466,0.740786,0.002296,,,,,,
0.123702,0.740839,-0.002414,,,,,,
-0.016517,0.740842,0.001055,,,,,,
-0.043443,0.741017,0.001206,,,,,,
0.120629,0.741663,0.0033,,,,,,
0.113954,0.741509,0.001762,,,,,,
0.000735,0.741839,0.003691,,,,,,
0.027265,0.741207,0.002441,,,,,,
0.038132,0.740975,-0.000103,,,,,,
-0.083734,0.741294,0.005454,,,,,,
-0.160726,0.74103,0.001413,,,,,,
-0.083774,0.740543,0.004286,,,,,,
-0.067255,0.740686,0.00134,,,,,,
-0.101045,0.740887,0.001547,,,,,,
-0.016274,0.7412,-0.001817,,,,,,
0.014796,0.741743,0.001673,,,,,,
-0.041205,0.740448,0.003073,,,,,,
0.012289,0.740808,0.001254,,,,,,
0.037655,0.74089,0.003816,,,,,,
-0.046302,0.740581,0.002687,,,,,,
-0.107857,0.740701,0.002641,,,,,,
-0.045449,0.740665,0.000551,,,,,,
-0.043331,0.740454,0.002657,,,,,,
-0.064657,0.740382,0.002454,,,,,,
-0.024271,0.740906,0.000552,,,,,,
0.038044,0.740683,0.002558,,,,,,
0.070218,0.740976,0.002798,,,,,,
0.103237,0.74029,0.001223,,,,,,
0.095715,0.740442,-0.000307,,,,,,
0.075918,0.739738,0.00065,,,,,,
0.104506,0.740264,0.003268,,,,,,
0.114044,0.739712,0.00035,,,,,,
0.044341,0.739523,0.000162,,,,,,
0.006666,0.739892,0.000055,,,,,,
-0.018769,0.740002,0.001029,,,,,,
-0.045024,0.740074,0.004833,,,,,,
-0.032419,0.740236,-0.00871,,,,,,
0.014473,0.739479,0.000462,,,,,,
-0.00394,0.739374,0.001859,,,,,,
0.015715,0.739525,0.000132,,,,,,
-0.001787,0.739475,0.004735,,,,,,
-0.045475,0.739012,0.003649,,,,,,
-0.088598,0.738964,0.000849,,,,,,
-0.063746,0.739233,0.003459,,,,,,
-0.074764,0.739673,0.003431,,,,,,
0.019051,0.739329,0.002514,,,,,,
-0.021449,0.740005,0.002661,,,,,,
-0.202195,0.739575,0.00135,,,,,,
0.009912,0.739374,0.003548,,,,,,
0.133893,0.738518,-0.000758,,,,,,
-0.16126,0.738954,0.003834,,,,,,
-0.195446,0.738958,-0.001738,,,,,,
0.085445,0.738703,0.002215,,,,,,
0.010549,0.739084,0.003379,,,,,,
-0.156508,0.739031,0.004644,,,,,,
0.010548,0.739003,0.005163,,,,,,
0.172832,0.738467,0.002405,,,,,,
0.080546,0.738707,0.002062,,,,,,
0.045382,0.737823,0.00401,,,,,,
0.122865,0.737952,0.000899,,,,,,
0.074733,0.73842,0.00106,,,,,,
-0.01359,0.737525,-0.000145,,,,,,
0.022517,0.738169,0.002555,,,,,,
0.035279,0.738394,0.000097,,,,,,
-0.070122,0.738117,0.000134,,,,,,
