Title:,0.2I+R,,,,,,,
Parameters:,,,,,,,,
,,,,,,,,
DAQ Settings:,,,,,,,,
Frequency Limit,2000,,,,,,,
Spectral Lines,1600,,,,,,,
Number of Blocks,8,,,,,,,
Total Data Rows,32768,,,,,,,
Channels:,,,,,,,,
Legend,Hor Accl,H Acc,Channel3,Channel4,Ver Accl,Speed,Torque,Channel8
,,,,,,,,
On/Off,OFF,OFF,OFF,OFF,ON,ON,ON,OFF
,,,,,,,,
Volts/Unit,0.1,0.1,1,1,0.1,1,0.0067,1
,,,,,,,,
Data,,,,,,,,
0.109154,0.705453,0.00338,,,,,,
-0.41274,0.785807,0.002207,,,,,,
-0.518374,0.71795,0.004253,,,,,,
-0.43926,0.775544,0.001098,,,,,,
-0.621326,0.727056,0.000841,,,,,,
-0.558701,0.768465,0.003728,,,,,,
-0.276303,0.733095,0.003243,,,,,,
-0.193182,0.762464,0.002707,,,,,,
-0.082097,0.73753,0.002936,,,,,,
0.222882,0.758187,0.001715,,,,,,
0.467821,0.740507,0.000782,,,,,,
0.503234,0.755073,0.001773,,,,,,
0.481454,0.743624,0.001147,,,,,,
0.671289,0.753473,0.002239,,,,,,
0.521877,0.745761,0.002435,,,,,,
0.213631,0.751966,0.000386,,,,,,
-0.00969,0.746407,0.001061,,,,,,
-0.23804,0.750025,0.002841,,,,,,
-0.617174,0.746734,0.002335,,,,,,
-0.65326,0.748884,0.002899,,,,,,
-0.545687,0.746625,0.003031,,,,,,
-0.544251,0.748666,0.000996,,,,,,
-0.45248,0.74826,0.00318,,,,,,
-0.113072,0.748891,0.001689,,,,,,
0.148774,0.74915,0.001584,,,,,,
0.276012,0.748919,0.001886,,,,,,
0.482446,0.748357,0.002357,,,,,,
0.624421,0.748411,0.002674,,,,,,
0.645486,0.747914,0.002686,,,,,,
0.527269,0.747114,0.001696,,,,,,
0.445095,0.747371,0.001718,,,,,,
0.071761,0.748041,0.002118,,,,,,
-0.521626,0.748268,0.003211,,,,,,
0.195952,0.748117,0.001239,,,,,,
-0.701404,0.748338,0.001428,,,,,,
-0.81211,0.748055,0.002068,,,,,,
-0.664392,0.747233,0.00154,,,,,,
-0.055068,0.747202,0.001901,,,,,,
-0.532987,0.747002,0.001522,,,,,,
-0.132717,0.746944,0.000292,,,,,,
0.340765,0.746777,0.000533,,,,,,
0.334372,0.747368,0.000958,,,,,,
0.342596,0.747069,0.001587,,,,,,
0.774049,0.747332,0.001311,,,,,,
0.662802,0.747066,0.001249,,,,,,
0.424572,0.747687,0.002445,,,,,,
0.384322,0.747376,0.001977,,,,,,
0.203663,0.746989,0.000406,,,,,,
-0.309434,0.746624,0.000075,,,,,,
-0.515529,0.746605,0.00171,,,,,,
-0.567732,0.747236,0.000657,,,,,,
-0.752909,0.74654,0.001971,,,,,,
-0.738884,0.74668,0.002153,,,,,,
-0.379612,0.747055,0.002356,,,,,,
-0.266834,0.746891,0.000263,,,,,,
-0.071435,0.74718,0.002835,,,,,,
0.429959,0.7469,0.002875,,,,,,
0.646119,0.746931,0.00244,,,,,,
0.594707,0.746279,0.00233,,,,,,
0.748488,0.74627,0.002157,,,,,,
0.717932,0.746904,0.002715,,,,,,
0.452883,0.746163,0.003195,,,,,,
0.140747,0.746819,0.003288,,,,,,
0.024066,0.74655,0.001505,,,,,,
-0.467292,0.746885,0.001645,,,,,,
-1.020695,0.746715,0.002711,,,,,,
-0.565357,0.746091,0.002312,,,,,,
-0.409591,0.745815,0.002735,,,,,,
-0.859589,0.745927,0.003953,,,,,,
-0.369513,0.745582,0.003072,,,,,,
0.219579,0.745748,0.002123,,,,,,
0.16286,0.745911,0.003342,,,,,,
0.405572,0.746107,0.00319,,,,,,
0.815195,0.746139,0.00205,,,,,,
