Title:,0.2R+O,,,,,,,
Parameters:,,,,,,,,
,,,,,,,,
DAQ Settings:,,,,,,,,
Frequency Limit,2000,,,,,,,
Spectral Lines,1600,,,,,,,
Number of Blocks,8,,,,,,,
Total Data Rows,32768,,,,,,,
Channels:,,,,,,,,
Legend,Hor Accl,H Acc,Channel3,Channel4,Ver Accl,Speed,Torque,Channel8
,,,,,,,,
On/Off,OFF,OFF,OFF,OFF,ON,ON,ON,OFF
,,,,,,,,
Volts/Unit,0.1,0.1,1,1,0.1,1,0.0067,1
,,,,,,,,
Data,,,,,,,,
0.883273,0.872336,0.001274,,,,,,
1.413982,0.48915,0.001806,,,,,,
1.354446,1.133425,0.004483,,,,,,
1.005249,-1.200362,0.003984,,,,,,
0.717781,-5.908709,0.00335,,,,,,
0.36044,-5.295818,0.00016,,,,,,
-0.530541,-5.646114,0.001918,,,,,,
-1.294547,-5.419302,0.000734,,,,,,
-1.612985,-5.579993,0.000251,,,,,,
-0.773408,-5.467486,0.001966,,,,,,
-1.550909,-5.543382,0.003861,,,,,,
-0.703396,-5.498651,0.00212,,,,,,
0.70646,-5.512698,0.003211,,,,,,
1.726269,-5.529227,0.002318,,,,,,
1.048013,-5.475976,0.002954,,,,,,
1.43918,-5.576989,0.001624,,,,,,
1.16284,-5.397216,0.002231,,,,,,
0.597179,-5.752042,0.0037,,,,,,
-0.591057,-4.340781,0.002023,,,,,,
-0.709778,0.846993,0.00228,,,,,,
-1.053689,0.611675,0.001426,,,,,,
-1.296955,0.796191,0.003162,,,,,,
-1.365113,0.659392,0.00201,,,,,,
-0.59142,0.770233,0.002196,,,,,,
-0.053018,0.682378,0.001513,,,,,,
0.678292,0.755617,0.000974,,,,,,
1.299841,0.694835,0.002772,,,,,,
1.396315,0.745366,0.001665,,,,,,
0.972961,0.702552,0.002416,,,,,,
0.775991,0.739313,0.002161,,,,,,
0.471487,0.708751,0.001954,,,,,,
-0.224438,0.734596,0.001796,,,,,,
-0.942864,0.712436,0.001453,,,,,,
-1.226192,0.731375,0.000811,,,,,,
-1.361602,0.716015,0.00125,,,,,,
-1.179413,0.728634,0.000963,,,,,,
-0.570834,0.717451,0.003053,,,,,,
0.137835,0.72596,-0.001168,,,,,,
0.947408,0.719274,-0.001325,,,,,,
1.389191,0.724889,0.00145,,,,,,
1.400377,0.720312,0.002726,,,,,,
0.890431,0.724221,0.002875,,,,,,
0.616609,0.721583,0.003185,,,,,,
0.411775,0.724169,0.001492,,,,,,
-0.381494,0.72203,0.001208,,,,,,
-1.457444,0.723094,0.002118,,,,,,
-1.476094,0.721728,0.001036,,,,,,
-1.110328,0.722794,0.002505,,,,,,
-1.035852,0.721032,0.000478,,,,,,
-0.623752,0.721745,0.001244,,,,,,
0.780576,0.721478,0.002085,,,,,,
1.717826,0.72222,0.001296,,,,,,
1.283134,0.722098,0.0019,,,,,,
0.974265,0.721903,0.000972,,,,,,
0.983969,0.722227,0.000682,,,,,,
0.847805,0.721498,0.003665,,,,,,
-0.509292,0.721895,0.003883,,,,,,
-0.920775,0.721137,0.00356,,,,,,
-1.500182,0.721117,0.002849,,,,,,
-0.753327,0.720915,0.003601,,,,,,
-1.435177,0.721308,0.002725,,,,,,
-1.110506,0.72164,0.002703,,,,,,
-0.163801,0.721017,0.003053,,,,,,
1.150214,0.721581,0.001621,,,,,,
1.62472,0.721009,0.002621,,,,,,
1.379194,0.721111,0.003144,,,,,,
1.289231,0.72122,0.003441,,,,,,
0.706832,0.721095,0.003551,,,,,,
0.390807,0.720797,0.003186,,,,,,
-0.594498,0.720457,0.004285,,,,,,
-1.328683,0.720882,0.004255,,,,,,
-1.643266,0.721016,0.005148,,,,,,
-1.298546,0.721084,0.003718,,,,,,
